	INVOLVEMENT = (Q33+Q43)/2	PERFORMANCE RISK = (Q39+Q48+Q35)/3	SOCIAL SYMBOLISM = (Q68 + Q64 + Q59)/3	QUALITY DIFFERENCE BRANDS vs. PRIVATE LABELS =(Q44+Q40)/2	Quality Gap: NB Quality minus PL Quality	VALUE DIFFERENCE BRANDS vs. PRIVATE LABELS = (Q49 + Q52)/2	VALUE DIFFERENCE BRANDS vs. PRIVATE LABELS = Q42 - Q50	PRICE-QUALITY INFERENCE = (Q36 + Q58)/2	BRAND TRUST = (Q53+Q57+Q41)/3	PERCEIVED DIFFICULTY OF MAKING THE CATEGORY = Q66	CATEGORY SHARE OF BUDGET = Q67	IMPULSE BUYING = Q70	Note
beer	3.1400	3.5200	2.9000	3.7800	1.3200	3.5400	0.5800	3.0200	3.5800	2.7800	2.1400	2.4400	
carbbev	3.4098	3.2842	2.3934	3.4754	0.7377	3.3279	0.1639	2.9836	3.6667	2.8525	2.3771	2.5246	
cigets	3.1400	3.5200	2.9000	3.7800	1.3200	3.5400	0.5800	3.0200	3.5800	2.7800	2.1400	2.4400	"Missing category, imputed from beer for USA"
coffee	3.3000	3.4867	2.4467	3.3300	0.6600	3.1000	0.0000	2.8800	3.3067	2.8400	2.1200	2.3000	"Missing for US, imputed from coffee instant and beans for US"
coldcer	3.5102	3.2177	2.4354	3.0714	0.2449	2.9694	-0.2449	2.5918	3.5170	2.5918	2.3265	2.3469	
deod	3.4388	3.7143	2.4694	3.3878	0.8367	3.2959	0.6327	2.6735	3.6259	2.9184	2.2857	2.3878	
diapers	4.0784	3.9085	2.5490	3.7451	1.0980	3.4314	0.5098	3.3726	3.7712	2.9020	3.3726	2.0392	
pz_di	3.1863	3.4183	2.3007	2.9216	0.1765	2.9314	-0.1569	2.8628	3.1307	2.7647	2.0588	2.7059	
hhclean	3.2451	3.2876	2.3399	3.1961	0.5882	3.1471	0.0784	2.7059	3.4248	2.8628	2.5294	2.4510	
ketchup	3.0915	3.4476	2.3735	3.3045	0.4408	3.2716	0.2640	3.0827	3.4943	2.6407	2.1490	2.3680	"Missing for US, imputed from ketchup for all countries"
laundet	3.4074	3.6296	2.3580	3.4167	0.5926	3.2500	0.0556	2.7685	3.5556	2.6852	2.5370	2.0185	
margbutr	3.1852	3.3395	2.5062	2.9815	0.1852	2.9537	0.0926	2.6759	3.5000	2.6482	2.1667	2.1482	
mayo	3.1900	3.5133	2.1867	3.3100	0.6200	3.2900	0.4000	2.8800	3.6533	2.8000	2.2000	2.3200	
milk	3.8458	3.4139	2.5491	3.0257	0.2410	2.9972	-0.0361	2.8333	3.4338	2.6208	3.0764	2.3917	"Missing for US, imputed from total milk for all countries"
mustard	3.0915	3.4476	2.3735	3.3045	0.4408	3.2716	0.2640	3.0827	3.4943	2.6407	2.1490	2.3680	"Missing category, imputed from ketchup for all countries"
spagsauc	3.4298	3.5146	2.3626	3.2544	0.5263	3.1667	0.0877	2.9649	3.5965	2.8597	2.3509	2.6491	
peanbutr	3.4018	3.3691	2.3036	3.3304	0.7321	3.1696	0.1071	2.8571	3.7500	2.8929	2.1786	2.5536	
rz_bl	2.8980	3.3810	2.1973	3.4490	0.6735	3.2245	0.3674	3.0918	3.4286	2.7755	2.0612	2.1633	
saltsnck	2.9134	3.3697	2.3422	3.2088	0.3075	3.1362	0.0617	2.9891	3.3850	2.6586	2.2191	3.0242	"Missing for US, imputed from potato crisps for all countries"
shamp	3.6250	3.4524	2.5179	3.4018	0.6250	3.3482	0.4107	2.9732	3.5000	2.6607	2.2500	2.3929	
soup	3.0385	3.2628	2.2051	3.0865	0.6346	2.9904	0.0962	2.7115	3.4808	2.4231	1.9039	2.4423	
sugarsub	2.1020	1.9184	1.8163	2.1122	-0.4255	2.1735	-0.1225	2.1225	2.9184	2.2653	1.5918	1.9184	"Missing for US, imputed from sugar for all countries"
toitisu	3.4898	3.5986	2.3878	3.5306	0.5510	3.3776	0.3674	3.0816	3.5850	2.5714	2.2245	2.3469	
toothpa	3.3800	3.4333	2.6200	3.5200	0.4800	3.3900	0.4600	2.9200	3.4733	2.9800	2.4000	2.5000	
yogurt	3.1600	3.2467	2.4600	2.9300	0.3600	2.8100	0.0600	2.7200	3.4667	2.6800	2.0600	2.6800	
